id,value,category,source
1,100.9842053979072,Y,A
2,108.55805990681606,X,A
5,103.66247806067524,X,A
6,104.39967052393747,Y,A
7,111.1307222109833,X,A
8,103.94777051716152,X,A
10,111.13874481015424,X,A
11,114.02455490067013,X,A
14,105.22910834887637,X,A
15,120.19158108038964,Y,A
16,100.84711619991732,Y,A
17,110.2893121000094,X,A
18,107.90617049554866,Y,A
19,106.2039466978736,Y,A
20,101.99936468461073,X,A
23,117.46935328554083,X,A
24,102.91483345790978,X,A
28,102.72862333973698,Y,A
30,102.71830658229376,X,A
31,102.68176144102225,Y,A
32,100.0301870593592,X,A
35,101.495458297816,Y,A
37,109.67579551809324,X,A
38,102.09923889346824,X,A
39,108.95807007888624,Y,A
42,112.47772559326452,Y,A
44,102.58705937439925,X,A
47,100.12295692970255,Y,A
48,109.104366123698,X,A
52,102.54889494926016,X,A
55,109.15481449845583,X,A
56,103.64606413112143,Y,A
57,108.75654043528895,Y,A
59,108.13505878162918,Y,A
61,103.61279404610268,X,A
62,105.9816772461285,X,A
63,107.30240333941327,Y,A
65,100.54608325326984,X,A
66,99.93065144678064,X,A
68,108.47335784645573,Y,A
69,115.00796831054244,X,A
70,102.56169700936957,X,A
72,100.73459358187526,Y,A
76,109.9575755672747,Y,A
78,108.38730086629973,X,A
83,106.00138346041552,Y,A
84,102.58015082073408,Y,A
85,110.91474345625214,X,A
87,108.14738868667894,Y,A
91,119.3921393313855,Y,A
92,105.64128859418804,Y,A
94,112.9882316238832,X,A
97,103.89371006434568,Y,A
99,108.27902753484808,Y,A
100,101.18024722599156,X,A
102,100.20186071598044,Y,A
107,100.90106772862782,Y,A
109,107.31460246338452,Y,A
111,101.56200847134696,X,A
112,106.7987981012222,X,A
113,101.25880761760344,X,A
116,99.68965753075167,X,A
117,103.7644355410017,X,A
119,110.77944995545582,Y,A
120,110.09612983386238,Y,A
121,103.96136169020008,X,A
122,100.19132549003616,Y,A
124,107.40934936927393,Y,A
125,100.64895106628845,Y,A
127,118.76764075199708,Y,A
130,105.62315741065004,Y,A
132,107.66186264661027,X,A
133,99.9916943969372,Y,A
134,117.22884815105976,Y,A
139,103.32503175401824,X,A
142,101.2780538089028,Y,A
144,116.53059084614128,X,A
146,102.35921314419232,Y,A
147,104.5092060870882,Y,A
148,118.25882911270756,Y,A
155,101.31860255868447,X,A
158,115.04384568414343,X,A
162,110.1336113658733,X,A
168,101.57583333461751,X,A
169,103.23283759746737,Y,A
170,114.43631943240312,X,A
175,108.57835233081464,Y,A
176,103.9866405439626,X,A
177,104.67215848570932,X,A
178,107.16240834315415,X,A
185,113.47400709418012,X,A
186,131.37535146782704,Y,A
187,99.90051972890204,X,A
188,107.29598121811904,X,A
191,101.98657281215053,Y,A
193,103.43088048124191,Y,A
194,102.89444462756384,X,A
196,103.82305329076397,X,A
197,108.88042713134902,Y,A
198,111.78715414747178,X,A
