id,value,category,source
0,48.96845839143754,Y,B
1,51.21285988645649,X,B
2,51.45923000738832,Z,B
3,55.71556814259465,Y,B
4,49.50388759598788,Z,B
5,50.35868730682064,Y,B
6,58.386111493003554,Z,B
7,48.82592175430071,X,B
8,53.25159463481855,X,B
9,51.14096774671594,X,B
10,50.71596372449309,Z,B
11,56.752073362192775,Z,B
12,52.74511439283999,X,B
13,46.376027679944606,Z,B
14,57.207683208015546,X,B
16,52.57008031922763,X,B
17,50.75201544436519,Y,B
18,49.01510347575763,X,B
19,51.902298553154026,Z,B
20,51.15944641798629,Z,B
21,50.55296054437516,X,B
22,48.43408489212422,Z,B
23,50.35505137880789,Y,B
24,53.0272540420955,Z,B
25,57.83132759364121,X,B
26,46.2574211480366,X,B
27,51.24715177629066,X,B
29,50.45425164019611,Y,B
31,45.82451467642199,Y,B
32,54.15913548811602,Y,B
34,52.42406553012627,Z,B
35,45.73614890786196,Z,B
36,53.98387699194006,X,B
39,50.31352707987578,Y,B
40,58.62037626875882,X,B
41,51.44528541468896,X,B
42,47.64169143802111,X,B
43,51.26466648939045,Y,B
44,57.08343375875614,Y,B
45,47.57653373588772,X,B
46,49.59014073156099,X,B
47,51.16844711344245,Y,B
48,52.29795131292667,Y,B
49,50.10072592932424,X,B
50,47.70081733694164,Z,B
51,56.0097253715387,X,B
52,46.8194259933476,Y,B
54,59.94176806630316,Z,B
55,56.47728706512852,Z,B
56,55.70602539176729,X,B
57,51.201890241670746,Y,B
58,55.20860406295465,Z,B
59,48.77492108364896,X,B
61,50.65813973367124,Z,B
62,53.1792053515652,Y,B
63,51.67753571864094,Y,B
64,49.2763056091243,Y,B
65,57.9813070183553,Z,B
66,54.179439414894986,X,B
67,49.52896861469866,Y,B
68,47.04798694762636,X,B
69,53.648270197555085,X,B
71,55.44165088447989,Z,B
73,52.60602778534329,X,B
74,54.58685841060794,Y,B
76,56.05447826753729,X,B
77,52.97006942107255,X,B
79,52.65751941295003,Z,B
80,47.3282546183666,X,B
81,52.48549681124787,Y,B
82,52.19515691707194,X,B
83,54.128612943092,Z,B
84,49.130978214224015,X,B
85,51.29455499566226,Y,B
86,51.24391843305368,Y,B
87,53.39459171773201,Z,B
88,50.783570057531605,X,B
89,63.00589675326561,Z,B
90,48.98978326080096,Y,B
92,50.33560009663853,Z,B
93,52.412435612686906,X,B
94,50.87407651670689,Z,B
95,47.79457201673112,Z,B
97,52.77154801028976,X,B
98,45.86286351567888,Y,B
99,61.37620454423384,Y,B
100,49.98487015747924,X,B
101,54.79096995781016,Y,B
102,53.60909050437164,Y,B
104,50.1099701298393,Y,B
106,49.08063345938495,X,B
107,62.93088235346648,Z,B
108,48.03966824355536,Y,B
109,51.42790438488217,Y,B
110,45.26456673463571,Z,B
111,51.73407437874552,Y,B
112,54.87605791737611,X,B
113,51.06245385301767,Z,B
114,49.774514451980906,X,B
115,55.18969291005098,X,B
116,55.71000006282905,Z,B
117,45.46485630471092,X,B
118,52.73770687283447,Z,B
119,56.41697089997668,X,B
120,46.129948446082985,Z,B
121,48.03334583688388,Y,B
122,51.13430027740389,X,B
123,48.73177425432535,Y,B
124,48.812860600509694,X,B
125,47.88183006994154,Z,B
126,55.13983906740497,Z,B
127,48.4994214427677,X,B
128,59.34484607941232,X,B
129,52.89781046750585,Y,B
130,48.19053526031534,Y,B
131,45.24475455768886,Y,B
