id,value,category
0,48.968458391437544,Y
1,51.21285988645649,X
2,51.459230007388314,Z
3,55.71556814259465,Y
4,49.50388759598788,Z
5,50.358687306820634,Y
6,58.386111493003554,Z
7,48.82592175430071,X
8,53.25159463481855,X
9,51.14096774671594,X
10,50.71596372449309,Z
11,56.752073362192775,Z
12,52.74511439283999,X
13,46.376027679944606,Z
14,57.207683208015546,X
15,43.262320795809956,X
16,52.57008031922763,X
17,50.752015444365185,Y
18,49.01510347575763,X
19,51.902298553154026,Z
20,51.15944641798629,Z
21,50.55296054437516,X
22,48.43408489212422,Z
23,50.35505137880789,Y
24,53.0272540420955,Z
25,57.83132759364121,X
26,46.2574211480366,X
27,51.247151776290664,X
28,41.202773831072044,X
29,50.45425164019611,Y
30,40.98929284819393,Y
31,45.82451467642199,Y
32,54.15913548811602,Y
33,41.22538433074685,Z
34,52.42406553012627,Z
35,45.73614890786196,Z
36,53.98387699194006,X
37,37.86753026515911,X
38,39.687338348561696,X
39,50.31352707987578,Y
40,58.62037626875882,X
41,51.44528541468896,X
42,47.64169143802111,X
43,51.26466648939045,Y
44,57.08343375875614,Y
45,47.57653373588772,X
46,49.59014073156099,X
47,51.16844711344245,Y
48,52.29795131292667,Y
49,50.100725929324234,X
50,47.70081733694164,Z
51,56.0097253715387,X
52,46.8194259933476,Y
53,39.631042530758116,X
54,59.94176806630316,Z
55,56.477287065128515,Z
56,55.70602539176729,X
57,51.201890241670746,Y
58,55.20860406295465,Z
59,48.774921083648955,X
60,44.344815836882994,Y
61,50.65813973367124,Z
62,53.179205351565194,Y
63,51.67753571864094,Y
64,49.2763056091243,Y
65,57.9813070183553,Z
66,54.179439414894986,X
67,49.52896861469866,Y
68,47.047986947626356,X
69,53.648270197555085,X
70,42.40107587945084,X
71,55.441650884479884,Z
72,42.795683957209604,X
73,52.60602778534329,X
74,54.58685841060794,Y
75,39.92907335284289,X
76,56.05447826753729,X
77,52.97006942107255,X
78,41.095734474657405,Z
79,52.65751941295003,Z
80,47.3282546183666,X
81,52.48549681124787,Y
82,52.19515691707194,X
83,54.128612943091994,Z
84,49.130978214224015,X
85,51.29455499566226,Y
86,51.24391843305368,Y
87,53.39459171773201,Z
88,50.783570057531605,X
89,63.00589675326561,Z
90,48.98978326080096,Y
91,39.920774782876165,X
92,50.33560009663853,Z
93,52.412435612686906,X
94,50.87407651670689,Z
95,47.794572016731124,Z
96,41.46603325200129,Y
97,52.77154801028976,X
98,45.862863515678875,Y
99,61.37620454423384,Y
100,49.98487015747924,X
101,54.790969957810155,Y
102,53.609090504371636,Y
103,44.4972960068986,X
104,50.109970129839304,Y
105,36.3963099025494,Y
106,49.08063345938495,X
107,62.93088235346648,Z
108,48.039668243555354,Y
109,51.42790438488217,Y
110,45.26456673463571,Z
111,51.73407437874552,Y
112,54.87605791737611,X
113,51.062453853017665,Z
114,49.774514451980906,X
115,55.18969291005098,X
116,55.71000006282905,Z
117,45.46485630471092,X
118,52.737706872834465,Z
119,56.416970899976675,X
120,46.129948446082985,Z
121,48.033345836883875,Y
122,51.13430027740389,X
123,48.73177425432535,Y
124,48.812860600509694,X
125,47.88183006994154,Z
126,55.13983906740497,Z
127,48.4994214427677,X
128,59.344846079412314,X
129,52.89781046750585,Y
130,48.19053526031534,Y
131,45.24475455768886,Y
132,54.39874943669782,Z
133,39.50017055646423,Y
134,53.080095156612884,Y
135,47.1427672455761,Y
136,53.11685481497936,Y
137,49.14377228410447,Z
138,43.90942656379144,Y
139,58.90384503289444,Z
140,56.81521922599672,X
141,43.95997065279277,X
142,49.236091781780374,Y
143,58.08736557528496,Y
144,54.23182086167017,Y
145,59.90563102550961,Y
146,49.752821694068516,Z
147,54.5811543799511,Y
148,53.66533844846183,Z
149,47.26896769789329,X
150,55.97367280706838,Y
151,51.11963747936855,X
152,51.79865404526645,Z
153,47.555571205977635,Y
154,53.458847848582984,Y
155,43.68282767966296,Z
156,49.597380906328404,X
157,44.02461960014662,Y
158,48.85105599499523,Y
