id,value,category
0,66.70873970779135,X
1,73.54228004868517,Z
2,87.18628889773792,X
3,76.90247133342996,Z
4,68.18120133171527,Z
5,55.526298912950594,X
6,70.00834532295876,Z
7,79.67463032355977,Z
8,76.85429017042063,Z
9,77.5603424617674,X
10,76.1153343002405,Z
11,80.33005249526596,Z
12,89.18339440435025,X
13,65.74094778274471,Z
14,73.10434890990135,X
15,79.66340476133924,Z
16,85.3331774582855,X
17,83.1039240362824,X
18,73.37582095172681,X
19,72.48525648796821,Z
20,73.28793905947457,Z
21,78.08500967913376,Z
22,66.67363603106295,X
23,72.46127065723812,Z
24,72.5230903170073,Z
25,72.88965185216273,X
26,90.68973762575406,Z
27,75.67480825701757,Z
28,66.45045309977596,X
29,83.23236192781573,Z
30,70.96812460595963,Z
31,81.11603929167384,Z
32,71.55247890548371,Z
33,76.52858292582826,Z
34,68.61009097144961,Z
35,88.25571180261717,Z
36,61.197143186544885,Z
37,71.79016507998021,X
38,71.12317028871051,X
39,72.9615497808331,Z
40,79.86290626247245,X
41,75.13767754129414,Z
42,78.2962582309954,X
43,70.87710947082853,X
44,75.84938574684028,Z
45,66.3881788985921,Z
46,74.00058331701898,Z
47,71.56108127637343,Z
48,65.13733931539004,Z
49,68.00506007786713,X
50,69.11806237825992,X
51,77.34208977569122,Z
52,81.68669791559756,X
53,75.02939646097748,X
54,64.3333886005711,X
55,79.60488424262687,X
56,68.31545148941076,Z
57,79.77449118912072,X
58,89.54374715076031,Z
59,75.84700756956342,Z
60,74.36045772753714,X
61,80.86801984364358,Z
62,70.55211558488469,X
63,79.4305381111514,Z
64,67.453356471719,X
65,80.47065779804957,Z
66,75.1236380779706,X
67,72.92953491741406,Z
68,72.05274284597432,X
69,80.0013152913823,X
70,85.92692798684826,X
71,72.19574390764305,X
72,74.92303443713902,X
73,73.03087496362697,X
74,76.6549684043321,X
75,89.82585547858561,Z
76,80.21608550499032,X
77,67.17041710262053,X
78,70.7254124881299,X
79,72.18129690403735,Z
80,80.56246678399869,Z
81,77.74368918873287,X
82,75.59853352928575,X
83,72.613993075055,Z
84,69.44060532622076,X
85,90.8781305625612,Z
86,74.82388020868497,X
87,81.30237633794499,Z
88,70.97506672224822,X
89,69.90962492197347,X
90,82.63648687996456,Z
91,69.78113680032493,Z
92,72.00888170973292,Z
93,70.33027646043877,Z
94,71.57535059138328,X
95,78.53079035620738,Z
96,74.24843085108013,X
97,62.422104051389425,Z
98,65.58959794023846,Z
99,66.80329202149613,X
100,84.93063858756649,Z
101,71.74669452111652,X
102,68.06710931084132,X
103,78.18782602276566,Z
104,77.59398114961928,Z
105,70.48073817092987,Z
106,73.47767931034889,Z
107,68.47468217059028,X
108,95.64742869937417,X
109,80.18091410040381,Z
110,81.83221010456776,X
111,68.6620981268113,X
112,65.72372861464518,X
113,79.57348179915695,Z
114,72.72627423761291,Z
115,66.52948110066981,Z
116,73.2143977303512,X
117,64.0549938974196,Z
