title,first_author,num_authors,year,journal,citation_count,citation_count_source,JCR_2024_impact_factor,impact_factor_source,JCR_2024_quartile,quartile_source,doi,pmid,arxiv_id,source,has_pdf,num_keywords,abstract_word_count
Towards network-guided neuromodulation for epilepsy.,"Piper, Rory J",8,2022,Brain : a journal of neurology,151,N/A,N/A,N/A,N/A,N/A,10.1093/brain/awac234,35771657,N/A,pubmed,False,9,322
Neuromodulation in epilepsy: state-of-the-art approved therapies.,"Ryvlin, Philippe",5,2021,The Lancet. Neurology,211,N/A,N/A,N/A,N/A,N/A,10.1016/S1474-4422(21)00300-8,34710360,N/A,pubmed,False,7,198
Alzheimer Disease and Epilepsy: A Mendelian Randomization Study.,"Fang, Yi",10,2023,Neurology,40,N/A,7.7,JCR 2024,Q1,JCR 2024,10.1212/WNL.0000000000207423,37225432,N/A,pubmed,False,9,141
Development and Validation of a Prediction Model for Early Diagnosis of ,"Brunklaus, Andreas",22,2022,Neurology,54,N/A,7.7,JCR 2024,Q1,JCR 2024,10.1212/WNL.0000000000200028,35074891,N/A,pubmed,False,9,98
Genetic Landscape of Common Epilepsies: Advancing towards Precision in Treatment.,"Thakran, Sarita",13,2020,International journal of molecular sciences,71,N/A,4.9,JCR 2024,Q2,JCR 2024,10.3390/ijms21207784,33096746,N/A,pubmed,False,11,285
"Monogenic Epilepsies: Disease Mechanisms, Clinical Phenotypes, and Targeted Therapies.","Guerrini, Renzo",4,2021,Neurology,67,N/A,7.7,JCR 2024,Q1,JCR 2024,10.1212/WNL.0000000000012744,34493617,N/A,pubmed,False,6,339
Genotype-phenotype associations in 1018 individuals with SCN1A-related epilepsies.,"Gallagher, Declan",22,2024,Epilepsia,20,N/A,6.6,JCR 2024,Q1,JCR 2024,10.1111/epi.17882,38410936,N/A,pubmed,False,10,225
SCN1A-deficient excitatory neuronal networks display mutation-specific phenotypes.,"van Hugte, Eline J H",16,2023,Brain : a journal of neurology,30,N/A,N/A,N/A,N/A,N/A,10.1093/brain/awad245,37467479,N/A,pubmed,False,9,352
Update on first unprovoked seizure in children and adults: A narrative review.,"Jiménez-Villegas, María José",3,2021,Seizure,21,N/A,N/A,N/A,N/A,N/A,10.1016/j.seizure.2021.03.027,33840584,N/A,pubmed,False,10,170
"Efficacy of anti-seizure medications and alternative therapies (ketogenic diet, CBD, and quinidine) in KCNT1-related epilepsy: A systematic review.","Gras, Mathilde",4,2024,Epilepsia open,10,N/A,2.8,JCR 2024,Q2,JCR 2024,10.1002/epi4.12975,39093319,N/A,pubmed,False,9,364
Development and Validation of a Deep Learning Model for Predicting Treatment Response in Patients With Newly Diagnosed Epilepsy.,"Hakeem, Haris",16,2022,JAMA neurology,52,N/A,20.4,JCR 2024,Q1,JCR 2024,10.1001/jamaneurol.2022.2514,36036923,N/A,pubmed,False,9,421
Advanced neuroimaging techniques in epilepsy.,"Duncan, John S",2,2022,Current opinion in neurology,14,N/A,4.1,JCR 2024,Q2,JCR 2024,10.1097/WCO.0000000000001007,34812749,N/A,pubmed,False,7,194
Deep learning in neuroimaging of epilepsy.,"García-Ramó, Karla Batista",3,2023,Clinical neurology and neurosurgery,1,N/A,1.8,JCR 2024,Q2,JCR 2024,10.1016/j.clineuro.2023.107879,37473486,N/A,pubmed,False,8,238
"EEG-Based Epilepsy Prediction: Evaluation Metrics, Data Deficiency and Limitation of Current Methods.","Xiong, Bowen",1,2023,Studies in health technology and informatics,0,N/A,N/A,N/A,N/A,N/A,10.3233/SHTI230818,38007719,N/A,pubmed,False,7,177
Recent advances in epilepsy surgery.,"Medina-Pizarro, Mauricio",3,2023,Current opinion in neurology,6,N/A,4.1,JCR 2024,Q2,JCR 2024,10.1097/WCO.0000000000001134,36762633,N/A,pubmed,False,7,197
Causal relationship between immune cells and epilepsy mediated by metabolites analyzed through Mendelian randomization.,"Chen, Jiangwei",9,2024,Scientific reports,0,N/A,3.8,JCR 2024,Q1,JCR 2024,10.1038/s41598-024-70370-1,39179617,N/A,pubmed,False,8,198
The critical dynamics of hippocampal seizures.,"Lepeu, Gregory",11,2024,Nature communications,13,N/A,14.7,JCR 2024,Q1,JCR 2024,10.1038/s41467-024-50504-9,39138153,N/A,pubmed,False,14,197
Artificial intelligence and telemedicine in epilepsy and EEG: A narrative review.,"Alkhaldi, Mohammad",4,2024,Seizure,3,N/A,N/A,N/A,N/A,N/A,10.1016/j.seizure.2024.08.024,39222613,N/A,pubmed,False,7,298
Toward automated prediction of sudden unexpected death in epilepsy.,"Gu, Bin",2,2022,Reviews in the neurosciences,19,N/A,3.4,JCR 2024,Q2,JCR 2024,10.1515/revneuro-2022-0024,35619127,N/A,pubmed,False,8,203
Predictive models of epilepsy outcomes.,"Sheikh, Shehryar",2,2024,Current opinion in neurology,6,N/A,4.1,JCR 2024,Q2,JCR 2024,10.1097/WCO.0000000000001241,38224138,N/A,pubmed,False,4,168
Linking epileptic phenotypes and neural extracellular matrix remodeling signatures in mouse models of epilepsy.,"Blondiaux, Armand",13,2023,Neurobiology of disease,10,N/A,5.1,JCR 2024,Q1,JCR 2024,10.1016/j.nbd.2023.106324,37838005,N/A,pubmed,False,7,117
Autoimmune-associated epilepsy - a challenging concept.,"Melzer, Nico",2,2025,Seizure,4,N/A,N/A,N/A,N/A,N/A,10.1016/j.seizure.2024.05.017,38852019,N/A,pubmed,False,5,234
